ID,In your current role do you carry out primary research?,Have you published a manuscript in the past 3 years?,Which of the following job family best applies to you?,Area of interest,"Please briefly describe your area of speciality within your field.
","Familiarity with Reproducibility?
","What does reproducibility mean to you?
","Familiarity with Open Science?
","What does Open Science mean to you
",Proportion of published results,How does your field stack up?,"How often do you think about reproducibility of your research?
","How often do you speak to your colleagues about reproducibility?
","How often do you question the reproducibility of other scientists' work?
","Your knowledge..
",Established procedure for reproducibility,Timelines,"Established procedure for reproducibility
",Quality of research changed,Impact on lab,Effects caused by change,"Funder & Institutional effort
","Funder & Institutional effort
2","Publisher effort
","Publisher effort
2",         Professional   incentives (e.g. funding or publications) for formally reproducing the work   of others       ,         Professional   incentives (e.g. funding or credit towards tenure) for adopting practices   that enhance reproducibility       ,         Better   teaching of science students       ,"         Better   mentoring/supervision of students, postdocs and other trainees in the lab       ",         Better   understanding of statistics       ,         More   robust experimental design       ,         More   emphasis on independent validation within the lab       ,         More   emphasis on independent replication via outside labs       ,         Journal   editors enforcing standards to enhance reproducibility (e.g. through   checklists)       ,         More   time to teach and mentor students and other workers in the lab       ,         More   time checking lab notebooks and raw data       ,"Would you like, Could you benefit from or do you want help in developing a strong foundation for running your own reproducible, open-source analyses?
","Guess what %age of respondents to a recent survey in Nature agreed that there is a ‘reproducibility crisis'
"
12,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",virology and entomology ,I am particularly interested in Virus infection in Insects,Somewhat familiar,That other researchers are able to come to the same conclusion as me by using my collected data and can reproduce my data by using the same setup as me. ,Somewhat familiar,Accessible science; that papers are available in full length to everyone. that research is done in the most transparent way as possible. ,7,"... about the same as for other scientific fields on average""",Weekly,Weekly,Yearly,Maybe,"No, but would like to",,,,,,No,,No,,Likely,Likely,Likely,Very Likely,Very Likely,Not very likely,Not very likely,Likely,I don't know,Very Likely,Very Likely,Yes,50-80%
13,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Molecular evolution ,"Evolution of transposable elements, especially in birds in reptiles, and the applicability to rapid adaptation to changing or novel environments ",Somewhat familiar,"Being able to redo the methodology in the same way, either to verify results or to use the methodology for similar analyses",Fairly familiar,"Research papers and data not being behind paywalls, and being easily accessible. Also all data and scripts used being available.",7,"... about the same as for other scientific fields on average""",Weekly,Yearly,Monthly,Maybe,"No, but would like to",,,,,,Not Applicable,,Yes,"Requirements for submissions such as data being in a depository, scripts version managed",Likely,Likely,Likely,Very Likely,Not very likely,Very Likely,Very Likely,Likely,Very Likely,Likely,I don't know,Yes,50-80%
14,Yes,"No, but I have some in draft at this time","Research Student (PhD, M by Res, MPhil etc.)",Microbial Evolutionary Ecology,Risks to human health from AMR exposure in rivers,Somewhat familiar,Be detailed enough so others would be able to replicate my methods protocol. ,Somewhat familiar,Accessible access to research ,6,"... about the same as for other scientific fields on average""",Monthly,Monthly,Monthly,Maybe,Yes,The procedures have been in place since I started working in my lab,Eg. Systematic review protocols are standardized ,"Yes, the quality of my research has improved",These changes have had a positive impact on my lab,,Yes,,Yes,,Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Very Likely,I don't know,Yes,50-80%
15,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,"Sensory Ecology - specifically working as a research technician for an NERC project looking at the impact of light pollution on nocturnal moth behaviour. Past research/general interest relate to vision, colour change, and camouflage as well as the impact of anthropogenic changes on these aspects of sensory ecology.",Somewhat familiar,"Ensuring the research you conduct can be reproduced, both in the methods for data collection and the analysis of data, to allow expansion on your work (e.g. to other species, or developing follow on experiments) as well as confirmation of your results.",Somewhat familiar,"Ensuring research is accessible to both researchers, as well as interested/invested stakeholders. This can include ensuring work is not behind paywalls, as well as in formats that are accessible to a variety of needs (e.g. digital, text-reader friendly/well captioned figures).",4,I am unsure.,Weekly,Monthly,Never,No,"No, but would like to",,,,,,Yes,"During my BBSRC funded PhD (SWBio DTP running 2017-2022), in our initial year, we had some teaching on open source publishing and ensure our work was reproducible, but it amounted to basically explaining open source journals, and that we should back up data/keep records of methods/annotate analysis code etc.",Not Applicable,N/A,Likely,Likely,Likely,Very Likely,Very Likely,Likely,I don't know,Likely,Likely,Very Likely,Not very likely,Maybe,50-80%
16,Yes,Yes,Research only but on education and scholarship secondment,Behavioural Ecology,I am fairly broad. Or unimaginative. One of the two. Maybe both. ,Fairly familiar,"The ability of on scientist/research groups ability to recreate the findings of another. This relies on the clarity of the methodology and openess of the original people/group to do making this possible. But then, perhaps I am conflating this with repeatability! Which then brings publication biases in to play. I always think about a 2010 New Yorker article titled 'The Truth Wears Off' when I think of this. ",Very familiar,"I believe that Open Science (at the bare minimum), is the publishing of scientific articles where the article, data, and code are openly available to all. ",6,"... worse than for other scientific fields on average.""",Weekly,Monthly,Monthly,No,No,,,,,,Yes,I think this is almost certainly true at the institution level. But we receive so many emails about so many things that I have no clear memory,Not Applicable,"As above. Maybe, but by that point in the publication process it is really a case of navigate the myriad of menus as fast as possible so that the hated manuscript is gone from your life as fast as possible",Very Likely,Very Likely,Likely,Likely,Very Likely,Likely,Likely,Likely,Likely,Very Likely,Not very likely,Maybe,50-80%
17,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Disease Ecology and Evolution,Insect virus evolution and anti-viral immunity ,Fairly familiar,"Meaning that other scientists can reproduce your methods, experiments and analyses with the materials provided with your publication. ",Somewhat familiar,Making sure that your publications are available open access and not behind a paywall ,6,"... about the same as for other scientific fields on average""",Daily,Monthly,Weekly,Maybe,"No, but would like to",,,,,,No,,Yes,"Encountered checklists as a reviewer, but not extensive enough jn my opinion. ",Very Likely,Very Likely,Likely,Very Likely,Likely,Very Likely,Likely,Very Likely,Very Likely,Likely,Likely,Yes,50-80%
18,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Behavioural Ecology,Biologist working in the field of behavioural ecology with some work in social evolution,Fairly familiar,"The ability to reproduce any experiments you undertake by another group. Through processes like sharing code etc.,",Somewhat familiar,Open Science is what allows reproduction of experiments to take place,7,"... better than for other scientific fields on average.""",Monthly,Yearly,Monthly,Yes,No,,,,,,No,,Yes,Code being published with papers,Very Likely,Very Likely,Not very likely,Very Likely,Likely,Very Likely,Likely,Likely,Very Likely,Very Likely,Very Likely,Maybe,50-80%
19,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,Host-associated microbial ecology,Fairly familiar,,Somewhat familiar,,5,I am unsure.,Monthly,Never,Yearly,Maybe,"No, but would like to",,,,,,Not Applicable,,Yes,,Likely,Very Likely,Likely,Likely,Not very likely,Likely,Likely,Likely,Likely,Likely,Not very likely,Maybe,10-20%
20,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,"Sensory ecology, light pollution, moth ecology and conservation ",Somewhat familiar,"Providing methods, and ideally code and data that allow others to accurately reproduce your work + results that are robust to replication",Fairly familiar,"Full accessibility of papers, transparency with regards to methods and peer review process, and accessible code and data",5,"... about the same as for other scientific fields on average""",Weekly,Monthly,Never,Maybe,No,,,,,,No,,Yes,"Lots of journals require data to be uploaded - that probably encourages more detailed checks, and makes replication or other use of data easier. Also encountered a checklist for methods in Nature Comms - not so helpful as most of it was tricky to apply to our field.",Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Not very likely,Likely,Likely,Not very likely,Maybe,50-80%
21,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,Analysis of animal movement from bio-logging devices. Seabird ecology. ,Fairly familiar,Producing science with detailed methodologies and available code to allow others to repeat the work. ,Somewhat familiar,Publishing code used to perform analyses to allow others to understand the full process behind the analysis. ,5,"... about the same as for other scientific fields on average""",Weekly,Weekly,Monthly,Maybe,"No, but would like to",,,,,,No,N/A,Yes,Encouragement to archive data and code when publishing. ,Likely,Likely,Likely,Very Likely,Very Likely,Likely,Likely,Very Likely,Very Likely,Likely,Likely,Yes,50-80%
22,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,I am interested in collective behaviour and epidemiology in social insects.,Somewhat familiar,"The ability to replicate experiments, code, and methodologies described in publications, either to validate the results independently, or build upon the work.",Somewhat familiar,"The practice of publishing science in a way that makes your data, code, and methodologies more amenable to reproduction.",6,I am unsure.,Weekly,Monthly,Weekly,Maybe,Yes,Within the last 2 years,"Publication of detailed methodology and raw data in the supplementary material of publications, upload of a priori-dependent experimental designs to open science framework (OSF) repositories, and upload of code to GitHub repositories for the relevant packages.","No, the quality of my research has not improved",These changes have not affected my lab,"These changes have led me to consider the curation of raw and supporting datasets more carefully. However, in the case of software code, have produced some conflicts of interest when considering access and protection of IP.",Yes,"Funders generally require the publication of supporting raw data in associated repositories, this is useful in terms of offering remote data storage capabilities.",Yes,Publishers generally require the publication of supporting raw data in associated repositories. This has been beneficial when accessing published work that might otherwise have inaccessible or limited supporting data. The general shift towards mandatory data availability compliance is likely a consequence of enforcement at the publisher level.,Likely,Likely,Not very likely,Likely,Not very likely,Likely,Very Likely,Very Likely,Very Likely,Not very likely,Not very likely,Yes,50-80%
23,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Microbial Evolutionary Ecology,"I work on AMR, but also interested in evolution of bacterial communities in general ",Somewhat familiar,,Fairly familiar,,4,I am unsure.,Monthly,Monthly,Monthly,Maybe,"No, but would like to",,,,,,No,,No,,Very Likely,Likely,Very Likely,Very Likely,Likely,Likely,Very Likely,I don't know,Very Likely,I don't know,Not very likely,Yes,50-80%
24,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,Comparative genomic analysis of bacterial mobile genes/elements (e.g. antimicrobial resistance and virulence) and immune systems,Fairly familiar,"Analyses and/or results that can be repeated by others - sharing methods, code etc. to enable this",Fairly familiar,"Sharing of e.g. data, source code, methods, to make your research accessible to other scientists and the public",2,"... about the same as for other scientific fields on average""",Weekly,Never,Weekly,Maybe,"No, but would like to",,,,,,No,,Yes,,Not very likely,Not very likely,I don't know,Very Likely,Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Yes,50-80%
25,Yes,Yes,Education & Research Staff,Engineering,"signal processing, machine learning",Somewhat familiar,publishing code on GitHub,Somewhat familiar,publishing software with the paper,5,"... about the same as for other scientific fields on average""",Yearly,Yearly,Never,Maybe,"No, but would like to",,,,,,No,,No,,Not very likely,Not very likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Maybe,50-80%
26,Yes,Yes,Education & Research Staff,Behavioural Ecology,"theoretical biology, development of simulations, data science",Fairly familiar,"that someone else could replicate the same experiment, the same data analysis without having to contact the author.",Somewhat familiar,that code and data are openly accessible and that it is made insightful what data is collected by whom and when.,7,"... better than for other scientific fields on average.""",Weekly,Monthly,Monthly,Yes,Yes,Within the last 5 years,Students and me are all on github to openly share code and analyses with the wider world. We try to use open source software as much as possible.,"Yes, the quality of my research has improved",These changes have not affected my lab,"all in all, it is a lot harder for students to immediately start working on a project, as they need to be a lot more computer savvy - they need to be able to interact with git which means nowadays exporting ssh keys, setting up security credentials on github.com, etc etc.

Interacting with data in a more reliable way is also much more demanding: in the olden days, people just created a whole bunch of excel sheets, each with a crappy subset of their original data. Now everything is script-based, which is great for reproducibility, yet all the tidyverse statements are much harder to grasp for a student who wants to get going (they only have a few months)

Undergrad computing skills are still in at the level of early 2000s, rather than at a 2023 level. This will not change with the best of will, as I agree with directors of eduation that recruitment would go south if we would add obligatory computing modules.",Yes,"They want you to hand in data and code into open access repositories, which is a good thing. Put accepted versions in repositories. Also a good thing.",Yes,"Data and code should be deposited in dryad. As an editor on Evolution, I ensure that that code is readable and can be run. However, there are hurdles: data is not available during the peer review process, only afterwards.",Very Likely,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Not very likely,Very Likely,Not at all likely,Very Likely,Very Likely,Yes,10-20%
27,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Marine Ecology,"I am interested in applying behavioural ecology principles to marine vertebrate ecology, specifically as it can help inform on vulnerable life stages spatial behaviour and inter-species interactions. ",Very familiar,"It means that someone with the relevant skills for the work (e.g. using R) could download the data, code and methods from a paper, and be able to produce the results section and figures from the paper. ",Somewhat familiar,"It means that people outside of academic institutions can read and download research papers. More personally and specifically, it means I don’t have to download papers for colleagues and friends from other institutions or Non-profits who don’t have institutional access but require the literature for their work. ",4,"... about the same as for other scientific fields on average""",Monthly,Yearly,Monthly,Yes,"No, but would like to",,,,,,Yes,I’ve come across grant applications that stipulate any research funded by the grant would have to be published open access. ,No,I’ve not encountered any. ,Likely,Not very likely,Likely,Very Likely,Very Likely,Not very likely,Likely,Likely,Not at all likely,Not very likely,Likely,Yes,50-80%
28,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,"Phage biology, genomic and metagenomic analysis.",Somewhat familiar,Consistency in results between replicated experiments and the ability to run identical computational analysis.,Somewhat familiar,Sharing of data and transparency of methods and analysis. Also open in terms of accessibility of journal articles and accessible facilities for all groups of people. ,6,"... about the same as for other scientific fields on average""",Monthly,Yearly,Monthly,Maybe,"No, but would like to",,,,,,Yes,Requirement for data sharing with certain journals. Obligation from funder (EU) to publish open access. ,Yes,Microbial Genomics require all data to be open access before submission. Possibly a hindrance as wouldn't want to be scooped.,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Not very likely,Likely,Very Likely,Likely,Very Likely,Very Likely,Yes,50-80%
29,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Earth and Environmental Science,spatial ecologist conducting microclimate and species distribution modelling.,Fairly familiar,Anyone in your field is able to recreate your results.,Fairly familiar,No paywalls on publications or data,7,"... better than for other scientific fields on average.""",Yearly,Never,Yearly,Maybe,"No, but would like to",,,,,,No,,Yes,,Very Likely,I don't know,Likely,Very Likely,Likely,Likely,Likely,I don't know,Very Likely,Likely,Not at all likely,Yes,50-80%
30,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,,Fairly familiar,,Fairly familiar,,8,I am unsure.,Yearly,Yearly,Monthly,No,No,,,,,,No,,No,,Very Likely,Likely,Likely,Likely,Likely,Likely,I don't know,I don't know,Likely,Likely,I don't know,No,90-100%
31,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Sensory Ecology,Form/function of animal colour patterns and visual processing ,Not very familiar,Researchers being able to repeat someone else's work/processes and getting comparable results. ,Fairly familiar,Scientific research not being hidden behind paywalls ,7,I am unsure.,Yearly,Yearly,Monthly,No,Yes,The procedures have been in place since I started working in my lab,Automated image analysis methods within a toolbox used by members of research groups,"Yes, the quality of my research has improved",These changes have had a positive impact on my lab,,Not Applicable,,No,,Likely,Likely,Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Very Likely,Not very likely,Maybe,50-80%
32,Yes,Yes,Education & Research Staff,Marine Ecology,Ecophysiology and environmental adaptation,Fairly familiar,the extent to which the same inference/conclusion can be drawn when experiments or surveys are repeated or undertaken in replicate,Fairly familiar,open sicence embodies the principle that the outputs of scientific research should be (freely?) available to everyone in society,2,I am unsure.,Weekly,Monthly,Monthly,Yes,No,,,,,,No,,Yes,,Not very likely,Not very likely,Likely,Very Likely,Very Likely,Very Likely,Not very likely,Not very likely,Very Likely,Very Likely,Very Likely,Yes,90-100%
33,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Insect Evolutionary Ecology,Sexual conflict,Fairly familiar,Can the outcomes of your work be reproduced by others in their own research ,Fairly familiar,Research results that are accessible to everyone - including non-scientists,4,I am unsure.,Daily,Monthly,Daily,No,"No, but would like to",,,,,,No,,No,,Likely,Likely,Likely,Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Yes,50-80%
34,Yes,Yes,"Technical services, providing research support","Supporting broad range of research from CEC, CSM, Geography etc","Analytical chemistry - specifically stable isotope analysis, gas chromatography-mass spectrometry and liquid chromatography-mass spectrometry.",Fairly familiar,The ability to use the same experimental design as a previous study and achieve the same results.,Somewhat familiar,"Improving the accessibility of research publications to everyone, by removing subscription charges or paywalls from journals and published articles.",8,"... better than for other scientific fields on average.""",Monthly,Monthly,Yearly,Maybe,Yes,The procedures have been in place since I started working in my lab,"Ensuring reproducibility within analytical chemistry involves following established protocols for instrument calibration, running of QC samples and blanks to ensure the data being produced is within acceptable limits of accuracy and precision. This ensures it would be reproducible in the future. However this doesn't necessarily apply to sample collection prior to laboratory analysis, so I can't be certain as to the reproducibility of all the studies I have been involved in.","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,Having confidence in the data that is being generated has a positive impact on job satisfaction.,No,,Yes,"If methodologies are not clear enough, or not enough information given about QC procedures/precision of analysis, this may be picked up during the review process.",I don't know,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Maybe,50-80%
35,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Earth and Environmental Science,"I am a geochemist and hydrologist in the field of water and soil pollution. I am particularly interested in metal-bearing minerals and their stability in dynamic riverine and coastal environments. 

",Somewhat familiar,"The ability of/chances given to another peer to repeat your experiments by following the information provided in the paper (or supportive information). However, experiments carried out in the field may have a lower reproducibility due to n variability. ",Somewhat familiar,"Enhance the circulation of information relative to research in terms of methods, elaborations, and data.  ",6,"... about the same as for other scientific fields on average""",Monthly,Monthly,Monthly,No,Yes,Within the last 2 years,"The methods for sampling and analysis of data were shared with all the universities and other collaborators in the project. Although, results are not always reproducible due to the continuous changes the in the coastal environment (erosion of sampled material or flooded samples sites). The lack of reproducibility is under investigation and a session in a manuscript will address this issue since very important for contaminant monitoring. ",I don't know,These changes have not affected my lab,The issue was tackled at the beginning  and lack in reproducibility of data (although consistent method) was investigated.,Yes,One of the deliveries of the project is to develop strategies to monitor contamination following established methods. ,No,The results are discussed with the inclusion of the variability - Standards and certified material provided consistent   results throughout the analysis. Therefore the variability is a characteristic of the samples.,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Yes,50-80%
36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
